start_time,end_time
00:30:34.156,00:30:35.699
00:30:35.699,00:30:37.451
00:30:37.451,00:30:43.415
00:30:43.415,00:31:30.462
00:31:30.462,00:31:43.433
00:31:43.433,00:31:53.735
00:31:53.735,00:32:01.993
00:32:01.993,00:32:08.708
00:32:08.708,00:32:18.009
00:32:18.009,00:32:21.596
00:32:21.596,00:32:32.148
00:32:32.148,00:33:05.640
00:33:05.640,00:33:11.562
00:33:11.562,00:33:31.958
00:33:31.958,00:33:40.508
00:33:40.508,00:34:30.766
00:34:30.766,00:34:46.574
00:34:46.574,00:34:56.250
00:34:56.250,00:35:02.423
00:35:02.423,00:35:05.050
00:35:05.050,00:35:15.352
00:35:15.352,00:35:25.154
00:35:25.154,00:35:44.840
00:35:44.840,00:36:13.201
00:36:13.201,00:36:49.404
00:36:49.404,00:36:51.489
00:36:51.489,00:36:55.910
00:36:55.910,00:36:57.787
00:36:57.787,00:37:00.749
00:37:00.749,00:37:05.420
00:37:05.420,00:37:07.464
00:37:07.464,00:37:09.215
00:37:09.215,00:37:15.346
00:37:15.346,00:37:31.237
00:37:31.237,00:37:38.494
00:37:38.494,00:37:45.001
00:37:45.001,00:37:52.842
00:37:52.842,00:38:05.229
00:38:05.229,00:38:13.946
00:38:13.946,00:38:16.866
00:38:16.866,00:38:20.620
00:38:20.620,00:38:28.544
00:38:28.544,00:38:31.297
00:38:31.297,00:38:35.509
00:38:35.509,00:38:39.847
00:38:39.847,00:38:42.475
00:38:42.475,00:38:49.273
00:38:49.273,00:38:52.526
00:38:52.526,00:38:56.113
00:38:56.113,00:38:59.825
00:38:59.825,00:39:07.958
00:39:07.958,00:39:09.919
00:39:09.919,00:39:14.590
00:39:14.590,00:39:20.596
00:39:20.596,00:39:23.891
00:39:23.891,00:39:27.686
00:39:27.686,00:39:31.732
00:39:31.732,00:39:36.111
00:39:36.111,00:39:38.572
00:39:38.572,00:39:41.658
00:39:41.658,00:39:46.747
00:39:46.747,00:39:51.835
00:39:51.835,00:39:55.255
00:39:55.255,00:40:03.680
00:40:03.680,00:40:07.059
00:40:07.059,00:40:12.147
00:40:12.147,00:40:16.652
00:40:16.652,00:40:21.365
00:40:21.365,00:40:24.659
00:40:24.659,00:40:29.081
00:40:29.081,00:40:34.294
00:40:34.294,00:40:38.298
00:40:38.298,00:40:40.467
00:40:40.467,00:40:43.845
00:40:43.845,00:40:47.766
00:40:47.766,00:40:55.523
00:40:55.523,00:41:07.285
00:41:07.285,00:41:11.414
00:41:11.414,00:41:14.167
00:41:14.167,00:41:26.221
00:41:26.221,00:41:41.194
00:41:41.194,00:41:46.282
00:41:46.282,00:41:51.537
00:41:51.537,00:41:55.625
00:41:55.625,00:42:00.380
00:42:00.380,00:42:10.014
00:42:10.014,00:42:17.939
00:42:17.939,00:42:25.863
00:42:25.863,00:42:28.699
00:42:28.699,00:42:30.618
00:42:30.618,00:42:38.876
00:42:38.876,00:42:45.007
00:42:45.007,00:42:50.805
00:42:50.805,00:42:58.187
00:42:58.187,00:43:02.483
00:43:02.483,00:43:04.485
00:43:04.485,00:43:08.614
00:43:08.614,00:43:16.705
00:43:16.705,00:43:20.626
00:43:20.626,00:43:23.754
00:43:23.754,00:43:27.508
00:43:27.508,00:43:31.512
00:43:31.512,00:43:35.975
00:43:35.975,00:43:38.435
00:43:38.435,00:43:43.732
00:43:43.732,00:43:51.323
00:43:51.323,00:43:53.993
00:43:53.993,00:43:55.703
00:43:55.703,00:44:01.083
00:44:01.083,00:44:09.466
00:44:09.466,00:44:13.428
00:44:13.428,00:44:16.974
00:44:16.974,00:44:18.517
00:44:18.517,00:44:20.978
00:44:20.978,00:44:23.772
00:44:23.772,00:44:25.524
00:44:25.524,00:44:30.404
00:44:30.404,00:44:36.118
00:44:36.118,00:44:59.349
00:44:59.349,00:45:06.690
00:45:06.690,00:45:11.611
00:45:11.611,00:45:17.576
00:45:17.576,00:45:27.085
00:45:27.085,00:45:28.420
00:45:28.420,00:45:32.674
00:45:32.674,00:45:36.720
00:45:36.720,00:45:40.765
00:45:40.765,00:45:43.143
00:45:43.143,00:45:45.520
00:45:45.520,00:45:47.981
00:45:47.981,00:45:50.984
00:45:50.984,00:45:56.906
00:45:56.906,00:46:06.249
00:46:06.249,00:46:11.629
00:46:11.629,00:46:29.939
00:46:29.939,00:46:40.742
00:46:40.742,00:46:45.621
00:46:45.621,00:46:48.249
00:46:48.249,00:46:50.376
00:46:50.376,00:46:52.628
00:46:52.628,00:46:55.590
00:46:55.590,00:47:11.480
00:47:11.480,00:47:16.986
00:47:16.986,00:47:22.491
00:47:22.491,00:47:24.952
00:47:24.952,00:47:37.339
00:47:37.339,00:47:42.511
00:47:42.511,00:47:59.653
00:47:59.653,00:48:02.364
00:48:02.364,00:48:17.796
00:48:17.796,00:48:20.132
00:48:20.132,00:48:22.134
00:48:22.134,00:48:27.514
00:48:27.514,00:48:34.772
00:48:34.772,00:48:39.067
00:48:39.067,00:48:46.450
00:48:46.450,00:48:48.577
00:48:48.577,00:48:56.293
00:48:56.293,00:49:09.306
00:49:09.306,00:49:20.400
00:49:20.400,00:49:22.027
00:49:22.027,00:49:30.202
00:49:30.202,00:49:37.000
00:49:37.000,00:49:42.339
00:49:42.339,00:49:48.428
00:49:48.428,00:49:51.514
00:49:51.514,00:49:52.849
00:49:52.849,00:49:57.312
00:49:57.312,00:50:01.608
00:50:01.608,00:50:08.990
00:50:08.990,00:50:14.662
00:50:14.662,00:50:26.800
00:50:26.800,00:50:40.396
00:50:40.396,00:50:48.071
00:50:48.071,00:50:56.829
00:50:56.829,00:51:13.221
00:51:13.221,00:51:18.101
00:51:18.101,00:51:24.816
00:51:24.816,00:51:29.237
00:51:29.237,00:51:36.994
00:51:36.994,00:52:09.193
00:52:09.193,00:53:12.297
00:53:12.297,00:53:17.678
00:53:17.678,00:53:19.221
00:53:19.221,00:53:27.771
00:53:27.771,00:53:30.482
00:53:30.482,00:53:36.571
00:53:36.571,00:53:41.451
00:53:41.451,00:54:05.600
00:54:05.600,00:54:08.687
00:54:08.687,00:54:45.932
00:54:45.932,00:54:59.946
00:54:59.946,00:55:04.617
00:55:04.617,00:55:14.002
00:55:14.002,00:55:22.760
00:55:22.760,00:55:32.437
00:55:32.437,00:55:44.866
00:55:44.866,00:55:51.122
00:55:51.122,00:55:56.168
00:55:56.168,00:56:05.094
00:56:05.094,00:56:11.767
00:56:11.767,00:56:17.106
00:56:17.106,00:56:21.235
00:56:21.235,00:56:26.991
00:56:26.991,00:56:32.913
00:56:32.913,00:56:42.965
00:56:42.965,00:56:46.802
00:56:46.802,00:56:54.435
00:56:54.435,00:56:59.356
00:56:59.356,00:57:04.987
00:57:04.987,00:57:28.260
00:57:28.260,00:57:30.387
00:57:30.387,00:57:41.982
00:57:41.982,00:58:14.347
00:58:14.347,00:58:23.940
00:58:23.940,00:58:29.529
00:58:29.529,00:58:36.786
00:58:36.786,00:58:51.926
00:58:51.926,00:59:17.202
00:59:17.202,00:59:31.549
00:59:31.549,01:00:30.274
01:00:30.274,01:00:36.739
01:00:36.739,01:00:38.115
01:00:38.115,01:00:39.450
01:00:39.450,01:00:42.953
01:00:42.953,01:01:09.271
01:01:09.271,01:01:32.044
01:01:32.044,01:02:18.423
01:02:18.423,01:02:20.801
01:02:20.801,01:02:24.638
01:02:24.638,01:02:47.994
01:02:47.994,01:02:53.917
01:02:53.917,01:03:05.637
01:03:05.637,01:03:09.266
01:03:09.266,01:03:13.311
01:03:13.311,01:03:16.022
01:03:16.022,01:03:19.609
01:03:19.609,01:03:23.905
01:03:23.905,01:03:25.490
01:03:25.490,01:03:29.494
01:03:29.494,01:03:34.416
01:03:34.416,01:03:44.676
01:03:44.676,01:03:49.222
01:03:49.222,01:03:54.185
01:03:54.185,01:03:57.355
01:03:57.355,01:04:13.705
01:04:13.705,01:04:21.170
01:04:21.170,01:04:26.342
01:04:26.342,01:04:33.683
01:04:33.683,01:04:45.153
01:04:45.153,01:04:49.824
01:04:49.824,01:05:02.670
01:05:02.670,01:05:19.478
01:05:19.478,01:05:23.816
01:05:23.816,01:05:32.700
01:05:32.700,01:05:47.172
01:05:47.172,01:06:04.898
01:06:04.898,01:06:08.235
01:06:08.235,01:06:12.322
01:06:12.322,01:06:14.533
01:06:14.533,01:06:16.910
01:06:16.910,01:06:18.203
01:06:18.203,01:06:20.414
01:06:20.414,01:06:22.249
01:06:22.249,01:06:26.211
01:06:26.211,01:06:28.046
01:06:28.046,01:06:33.010
01:06:33.010,01:07:12.632
01:07:12.632,01:07:16.261
01:07:16.261,01:07:24.311
01:07:24.311,01:07:30.692
01:07:30.692,01:07:39.326
01:07:39.326,01:07:43.288
01:07:43.288,01:07:47.375
01:07:47.375,01:07:49.753
01:07:49.753,01:07:56.509
01:07:56.509,01:08:03.141
01:08:03.141,01:08:09.147
01:08:09.147,01:08:12.025
01:08:12.025,01:08:20.408
01:08:20.408,01:08:21.951
01:08:21.951,01:08:26.873
01:08:26.873,01:08:30.960
01:08:30.960,01:08:38.968
01:08:38.968,01:08:41.846
01:08:41.846,01:08:44.307
01:08:44.307,01:08:47.518
01:08:47.518,01:08:59.197
01:08:59.197,01:09:04.285
01:09:04.285,01:09:08.331
01:09:08.331,01:09:19.050
01:09:19.050,01:09:28.142
01:09:28.142,01:09:33.481
01:09:33.481,01:09:37.276
01:09:37.276,01:09:38.569
01:09:38.569,01:09:46.619
01:09:46.619,01:09:48.537
01:09:48.537,01:09:55.628
01:09:55.628,01:09:57.963
01:09:57.963,01:10:01.592
01:10:01.592,01:10:07.848
01:10:07.848,01:10:11.227
01:10:11.227,01:10:17.942
01:10:17.942,01:10:21.236
01:10:21.236,01:10:23.781
01:10:23.781,01:10:26.909
01:10:26.909,01:10:32.706
01:10:32.706,01:10:35.209
01:10:35.209,01:10:39.046
01:10:39.046,01:10:42.091
01:10:42.091,01:10:44.218
01:10:44.218,01:10:48.013
01:10:48.013,01:10:49.306
01:10:49.306,01:10:50.724
01:10:50.724,01:10:52.309
01:10:52.309,01:10:55.646
01:10:55.646,01:11:00.067
01:11:00.067,01:11:03.153
01:11:03.153,01:11:06.782
01:11:06.782,01:11:14.122
01:11:14.122,01:11:23.590
01:11:23.590,01:11:33.683
01:11:33.683,01:11:39.898
01:11:39.898,01:11:42.818
01:11:42.818,01:11:44.486
01:11:44.486,01:11:50.367
01:11:50.367,01:11:52.077
01:11:52.077,01:11:53.745
01:11:53.745,01:11:59.459
01:11:59.459,01:12:05.215
01:12:05.215,01:12:19.979
01:12:19.979,01:12:22.357
01:12:22.357,01:12:29.114
01:12:29.114,01:12:41.501
01:12:41.501,01:12:46.464
01:12:46.464,01:12:53.596
01:12:53.596,01:12:57.976
01:12:57.976,01:13:04.607
01:13:04.607,01:13:06.651
01:13:06.651,01:13:16.327
01:13:16.327,01:13:19.872
01:13:19.872,01:13:24.710
01:13:24.710,01:13:36.430
01:13:36.430,01:13:51.153
01:13:51.153,01:13:53.239
01:13:53.239,01:13:55.533
01:13:55.533,01:14:02.289
01:14:02.289,01:14:08.796
01:14:08.796,01:14:34.530
01:14:34.530,01:14:40.035
01:14:40.035,01:14:43.372
01:14:43.372,01:14:45.332
01:14:45.332,01:14:47.334
01:14:47.334,01:14:50.421
01:14:50.421,01:14:52.881
01:14:52.881,01:14:55.884
01:14:55.884,01:15:04.017
01:15:04.017,01:15:06.645
01:15:06.645,01:15:09.732
01:15:09.732,01:15:12.234
01:15:12.234,01:15:20.117
01:15:20.117,01:15:23.829
01:15:23.829,01:15:26.206
01:15:26.206,01:15:29.209
01:15:29.209,01:15:46.476
01:15:46.476,01:15:51.773
01:15:51.773,01:15:54.276
01:15:54.276,01:15:56.987
01:15:56.987,01:16:00.657
01:16:00.657,01:16:06.496
01:16:06.496,01:16:11.793
01:16:11.793,01:16:14.880
01:16:14.880,01:16:23.930
01:16:23.930,01:16:30.812
01:16:30.812,01:16:33.398
01:16:33.398,01:16:35.859
01:16:35.859,01:16:38.069
01:16:38.069,01:16:44.701
01:16:44.701,01:16:53.877
01:16:53.877,01:16:56.838
01:16:56.838,01:17:00.091
01:17:00.091,01:17:04.888
01:17:04.888,01:17:06.681
01:17:06.681,01:17:11.269
01:17:11.269,01:17:13.521
01:17:13.521,01:17:17.859
01:17:17.859,01:17:20.028
01:17:20.028,01:17:24.157
01:17:24.157,01:17:25.700
01:17:25.700,01:17:35.043
01:17:35.043,01:17:39.380
01:17:39.380,01:17:41.674
01:17:41.674,01:17:43.968
01:17:43.968,01:17:59.817
01:17:59.817,01:18:06.032
01:18:06.032,01:18:13.915
01:18:13.915,01:18:18.753
01:18:18.753,01:18:23.424
01:18:23.424,01:18:26.552
01:18:26.552,01:18:29.513
01:18:29.513,01:18:31.015
01:18:31.015,01:18:37.104
01:18:37.104,01:18:51.619
01:18:51.619,01:18:58.876
01:18:58.876,01:19:16.143
01:19:16.143,01:19:30.240
01:19:30.240,01:19:42.878
01:19:42.878,01:19:45.005
01:19:45.005,01:19:47.174
01:19:47.174,01:19:48.842
01:19:48.842,01:19:50.219
01:19:50.219,01:19:58.769
01:19:58.769,01:20:02.481
01:20:02.481,01:20:06.693
01:20:06.693,01:20:12.282
01:20:12.282,01:20:16.662
01:20:16.662,01:20:20.290
01:20:20.290,01:20:23.710
01:20:23.710,01:20:29.382
01:20:29.382,01:20:33.303
01:20:33.303,01:20:41.686
01:20:41.686,01:21:06.127
01:21:06.127,01:21:09.172
01:21:09.172,01:21:13.885
01:21:13.885,01:21:16.054
01:21:16.054,01:21:18.431
01:21:18.431,01:21:21.309
01:21:21.309,01:21:36.783
01:21:36.783,01:21:45.875
01:21:45.875,01:21:51.506
01:21:51.506,01:22:20.660
01:22:20.660,01:22:29.794
01:22:29.794,01:22:35.591
01:22:35.591,01:22:38.594
01:22:38.594,01:22:42.640
01:22:42.640,01:22:46.686
01:22:46.686,01:22:50.606
01:22:50.606,01:22:54.902
